STA_LOC,RENT_NM,AVG_RENT_CNT,TOTAL_RENT_CNT,AVG_RTN_CNT,TOTAL_RTN_CNT
강서구,2715.마곡나루역 2번 출구 ,460.96,12907,491.46,13761
송파구,1210. 롯데월드타워(잠실역2번출구 쪽),345.21,9666,344.11,9635
마포구,5515.한강버스 망원 선착장,319.21,8938,302.79,8478
강서구,2728.마곡나루역 3번 출구,288.61,8081,288.32,8073
강서구,2701. 마곡나루역 5번출구 뒤편,276.14,7732,279.64,7830
영등포구,230. 영등포구청역 7번출구,249.61,6989,235.0,6580
강서구,"1153. 발산역 1번, 9번 인근 대여소",233.39,6535,233.57,6540
송파구,2608. 송파구청,224.5,6286,245.04,6861
광진구,502. 자양(뚝섬한강공원)역 1번출구 앞,216.54,6063,246.93,6914
송파구,2622. 올림픽공원역 3번출구,210.43,5892,208.89,5849
성동구,5651.한강버스 옥수 선착장,197.5,5530,196.57,5504
강서구,1124. 발산역 6번 출구 뒤,189.68,5311,191.54,5363
구로구,1911. 구로디지털단지역 앞,187.5,5250,196.57,5504
양천구,769.CBS방송국 앞,183.93,5150,195.71,5480
송파구,5784.한강버스 잠실 선착장,183.54,5139,180.82,5063
양천구,792.목동트라팰리스 웨스턴에비뉴,180.89,5065,183.96,5151
광진구,3533. 건대입구역 사거리(롯데백화점),179.89,5037,193.68,5423
영등포구,4565. 영등포 신세계백화점,179.39,5023,179.14,5016
양천구,"785.양천구청, 보건소 사잇길",177.46,4969,182.18,5101
성동구,583. 청계천 생태교실 앞,174.96,4899,180.14,5044
강서구,1160. 양천향교역 7번출구앞,174.68,4891,172.07,4818
강서구,1166. 강서구립등빛도서관,173.75,4865,173.21,4850
관악구,2102. 봉림교 교통섬,170.64,4778,177.21,4962
영등포구,272. 당산육갑문,170.07,4762,181.68,5087
송파구,4870. 몽촌토성역 3번 출구,169.36,4742,168.18,4709
강서구,2733.마곡13단지 정문 앞,168.46,4717,155.18,4345
강서구,5052. 마곡역 7번출구,168.21,4710,181.68,5087
송파구,5768.방이삼거리,166.0,4648,177.46,4969
광진구,5153.한강버스 뚝섬 선착장,178.77,4648,172.77,4492
양천구,765. 오목교역 3번출구,163.18,4569,179.93,5038
강서구,3798. 그랜드아이파크아파트 앞,162.43,4548,161.11,4511
영등포구,5891.한강버스 여의도 선착장,162.0,4536,160.79,4502
송파구,2620. 송파나루역 4번 출구옆,159.11,4455,168.54,4719
영등포구,5858. 영등포역5번출구,158.61,4441,181.04,5069
마포구,113. 홍대입구역 2번출구 앞,158.11,4427,195.18,5465
구로구,3939.신도림역 3번출구,157.5,4410,171.79,4810
성동구,529. 장한평역 8번 출구 앞,155.86,4364,153.36,4294
강서구,2721.등촌1-10단지 교차로,154.82,4335,153.07,4286
영등포구,247. 당산역 10번출구 앞,154.11,4315,155.29,4348
구로구,1906. 신도림역 1번 출구 앞,153.71,4304,154.57,4328
강서구,1151. 마곡역1번출구,152.43,4268,160.14,4484
광진구,3534. 건대입구역 5번출구 뒤,151.29,4236,156.25,4375
강동구,1009. 천호역4번출구(현대백화점),149.93,4198,150.79,4222
강남구,4940.한강버스 압구정 선착장,149.82,4195,144.36,4042
양천구,781.신정보도육교 아래,149.29,4180,150.25,4207
송파구,1222. 잠실새내역 5번 출구 뒤,147.18,4121,154.36,4322
마포구,4217. 한강공원 망원나들목,146.61,4105,157.07,4398
강서구,2717.LG유플러스 마곡사옥,144.89,4057,160.75,4501
강동구,1050.  둔촌역 3번 출입구,144.32,4041,150.61,4217
강서구,1190. 마곡역 교차로(2번출구),142.86,4000,145.86,4084
금천구,1867.대륭포스트타워6차 앞,142.71,3996,155.29,4348
양천구,4543. 오목교역 6번 출구,140.14,3924,146.07,4090
광진구,3518. 군자역 7번출구뒤,139.82,3915,140.82,3943
성동구,508. 성수아카데미타워 앞,139.36,3902,134.11,3755
영등포구,4574. 영등포시장역 포레나영등포,138.82,3887,139.54,3907
노원구,1625. 상계역 3번출구,137.79,3858,135.86,3804
강서구,2739.수명산파크1단지교차로,137.36,3846,136.18,3813
영등포구,240. 문래역 4번출구 앞,137.25,3843,128.43,3596
강서구,5082. 가양역 7번출구,137.25,3843,156.5,4382
성동구,585. 성수2가1동 공영주차장 인근,137.0,3836,143.07,4006
영등포구,5862. 당산역11번출구,136.89,3833,140.46,3933
송파구,4457. 아산병원 기숙사 부근,136.5,3822,158.32,4433
양천구,726. 목동3단지 시내버스정류장,132.79,3718,130.89,3665
강서구,1158. 가양역 8번출구,131.39,3679,133.36,3734
광진구,3569.건대병원후문,130.32,3649,137.0,3836
양천구,708. 서울출입국관리사무소 앞,130.11,3643,134.25,3759
강서구,1112. 마곡엠밸리4단지 정문,129.79,3634,129.0,3612
노원구,1601. 석계역 문화광장 내 자전거 보관소,128.39,3595,139.75,3913
강동구,1019. 다성이즈빌아파트(호원대 대각선 맞은편),127.96,3583,134.54,3767
강서구,1152. 마곡역교차로,127.71,3576,140.18,3925
영등포구,4571. 문래동롯데캐슬아파트,127.18,3561,127.54,3571
영등포구,209. 유진투자증권빌딩 앞,126.82,3551,141.29,3956
양천구,797.목동아파트 1422동 1434동 사잇길,126.32,3537,125.14,3504
강동구,1078.둔촌사거리,126.21,3534,130.46,3653
양천구,770.목동역5번출구,125.96,3527,135.04,3781
영등포구,4561. 양평역 1번출구,124.86,3496,122.57,3432
송파구,2639.석촌역 8번출구,123.04,3445,119.36,3342
노원구,1608. 공릉역 1번 출구 앞,122.5,3430,132.29,3704
송파구,2621. 한성백제역 2번 출구,122.46,3429,123.21,3450
광진구,3571.화양 APT(횡단보도 옆),121.79,3410,117.11,3279
강서구,1167. 마곡수명산파크3단지 교차로,121.32,3397,118.07,3306
송파구,1295. 잠실역 8번출구,120.43,3372,120.89,3385
강서구,3780. 등촌서광아파트,120.11,3363,120.61,3377
구로구,1925. 동양미래대학교 정문 옆,119.36,3342,120.86,3384
양천구,787.양천아파트 입구,119.18,3337,115.5,3234
송파구,2646.레이크펠리스101동앞,117.68,3295,121.96,3415
강서구,5061. 우장산동 가곡어린이공원앞,117.5,3290,117.89,3301
용산구,870.노들섬 서측 앞,117.39,3287,118.93,3330
양천구,746. 목동2단지 상가,116.89,3273,119.29,3340
양천구,4531. 목동아파트 613동 앞,116.25,3255,113.93,3190
강동구,3681. 길동 마루빌딩,116.18,3253,120.43,3372
강서구,1157. 강서구청,116.14,3252,118.75,3325
영등포구,263. 근로자회관 사거리,116.0,3248,119.57,3348
은평구,907. CJ 드림시티,114.82,3215,135.54,3795
노원구,4029. 청소년수련관 후문,114.57,3208,114.82,3215
영등포구,202. 국민일보 앞,114.18,3197,118.89,3329
강동구,1084. 윤선생빌딩(JYP사옥),113.89,3189,127.54,3571
강동구,1044. 굽은다리역,113.18,3169,117.96,3303
양천구,795.양천 해누리타운,113.14,3168,112.79,3158
용산구,853.용산역 맞은편,112.89,3161,115.93,3246
양천구,703. 오목교역 7번출구 앞,112.75,3157,121.82,3411
강서구,1184. 마곡13단지,112.57,3152,113.68,3183
강서구,2708.강서한강자이타워 앞,111.93,3134,112.57,3152
송파구,5781. 올림픽공원 수영장,111.89,3133,113.71,3184
영등포구,217. NH농협은행 앞,111.5,3122,115.96,3247
강서구,"1191. 마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)",111.32,3117,111.07,3110
강서구,1149. 신방화역환승주차장,111.29,3116,109.61,3069
영등포구,243. 이앤씨드림타워 앞,111.0,3108,113.79,3186
서초구,"2219. 고속터미널역 8-1번, 8-2번 출구 사이",110.89,3105,110.43,3092
강동구,1020. 강동경찰서,110.5,3094,110.61,3097
강동구,3680. 강동역3번출구,110.29,3088,110.07,3082
강서구,2719.마곡문화공원,109.96,3079,126.93,3554
강서구,1117. 등촌5단지아파트 버스정류장,109.75,3073,110.75,3101
영등포구,207. 여의나루역 1번출구 앞,109.5,3066,99.82,2795
송파구,2628.문정역 1번출구,109.46,3065,115.36,3230
마포구,4233. 코오롱아파트사거리,109.14,3056,114.75,3213
노원구,2919.등나무 근린공원(시립북서울미술관 앞) ,108.93,3050,111.54,3123
양천구,4508. 유원목동아파트 103동 앞,108.86,3048,111.43,3120
영등포구,3219.영등포역 1번출구,108.57,3040,134.96,3779
강동구,3668. 성내삼성아파트,108.5,3038,114.18,3197
양천구,779. 신정1동 주민센터 앞,107.93,3022,118.54,3319
영등포구,5870. LG트윈타워 앞,107.68,3015,104.68,2931
강동구,1011. LIGA 아파트 앞,107.68,3015,107.54,3011
송파구,4897. 잠실주공5단지1,107.57,3012,103.32,2893
노원구,1637. KT 전화국 버스정류장 옆,107.54,3011,110.75,3101
중구,431. 청계천 영도교,107.36,3006,108.21,3030
강서구,"5074. 마곡엠밸리14단지 버스정류장(마곡엠밸리11,12단지상가방면)",106.93,2994,109.39,3063
강서구,5070. 마곡13단지힐스테이트마스터 후문(1320동 앞),106.43,2980,104.64,2930
강동구,1024.  강동구청 앞,106.21,2974,107.96,3023
강서구,5096. LG사이언스파크 E14동,106.21,2974,123.07,3446
영등포구,5867. H타워 앞,105.93,2966,97.57,2732
구로구,1985. 구로도서관,105.82,2963,100.61,2817
은평구,996.응암역2번출구 국민은행 앞,105.64,2958,147.57,4132
송파구,2623.석촌동 주민센터,105.61,2957,97.46,2729
송파구,1297. 석촌호수교차로(동호 팔각정 앞),105.54,2955,106.68,2987
마포구,186. 월드컵공원,105.5,2954,103.71,2904
관악구,2136. 신림역 8번출구,105.39,2951,113.75,3185
성동구,3511. 응봉역 1번출구,105.32,2949,123.93,3470
영등포구,5882. 휴젠느,105.07,2942,102.46,2869
영등포구,236. 문래동자이아파트 앞,104.75,2933,112.71,3156
영등포구,228. 선유도역 3번출구 앞,104.71,2932,112.0,3136
구로구,2824.미래사랑어린이공원 앞,104.46,2925,105.14,2944
양천구,4547. 목동역 2번 출구,104.36,2922,105.68,2959
송파구,4452. 삼성SDS,104.25,2919,115.14,3224
양천구,4540. 목동역 3번 출구,103.96,2911,113.79,3186
송파구,1231. 잠실역 6번출구,103.43,2896,107.54,3011
동대문구,602. 장안동 사거리,103.07,2886,114.29,3200
광진구,584. 광진광장 교통섬,103.04,2885,80.07,2242
영등포구,3202.당산롯데캐슬프레스티지,102.61,2873,102.79,2878
송파구,4865. 한성백제역 1번출구 뒤,101.89,2853,103.11,2887
강서구,1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔),101.82,2851,115.21,3226
강서구,5080. 가양역 1번출구,101.32,2837,117.29,3284
영등포구,245. 삼성생명 당산사옥 앞,101.18,2833,102.71,2876
광진구,3881. 신자초교입구 교차로,101.14,2832,102.07,2858
노원구,1653. 노원역1번출구,101.11,2831,101.46,2841
노원구,1684. 태릉입구역 5번출구,100.82,2823,106.0,2968
양천구,780.신정교 하부,100.75,2821,106.86,2992
양천구,793.목동5단지아파트 534동,100.71,2820,99.82,2795
강동구,1010. 강동세무서,100.5,2814,100.32,2809
송파구,1232. 잠실주공 521동 건너편,100.11,2803,99.14,2776
동작구,2002. 노들역 1번출구,100.04,2801,106.64,2986
영등포구,5866.포레나 당산,100.0,2800,97.96,2743
양천구,4515. 동문굿모닝탑,99.96,2799,101.0,2828
중구,6058. 서울도시건축전시관 옆,99.93,2798,103.0,2884
마포구,102. 망원역 1번출구 앞,99.82,2795,105.61,2957
관악구,2176. 보라매공원 보도육교,99.75,2793,110.14,3084
양천구,791.현대하이페리온,99.71,2792,99.68,2791
강남구,2377. 수서역 5번출구,98.54,2759,107.71,3016
송파구,2641.송파역 4번출구,98.18,2749,99.54,2787
강서구,2704.홈플러스(강서점),98.04,2745,104.89,2937
강서구,1173. 강서구청사거리(SH타워),97.89,2741,97.0,2716
마포구,3010.홍대입구역 3번출구,97.75,2737,106.5,2982
강서구,1182. KBS 스포츠월드,97.61,2733,96.18,2693
송파구,1293. 석촌호수 서호 사거리,97.36,2726,101.5,2842
동대문구,4108. 답십리파크자이아파트 앞,97.36,2726,97.54,2731
양천구,4509. 서울영상고교 입구,97.25,2723,101.61,2845
동대문구,4137. 답십리역 4번출구,97.25,2723,113.32,3173
영등포구,280. 양평동6차현대아파트 앞,96.96,2715,93.25,2611
노원구,1611. 과기대 입구(우),96.86,2712,101.43,2840
양천구,734. 신트리공원 입구,96.75,2709,95.86,2684
