STA_LOC,RENT_NM,AVG_RENT_CNT,TOTAL_RENT_CNT,AVG_RTN_CNT,TOTAL_RTN_CNT,NET_FLOW,FLOW_TYPE
강서구,2715.마곡나루역 2번 출구 ,538.57,3770,544.57,3812,-42,inflow
강서구,2728.마곡나루역 3번 출구,375.0,2625,373.71,2616,9,outflow
강서구,2701. 마곡나루역 5번출구 뒤편,370.86,2596,383.71,2686,-90,inflow
송파구,1210. 롯데월드타워(잠실역2번출구 쪽),401.83,2411,401.17,2407,4,outflow
영등포구,230. 영등포구청역 7번출구,326.5,1959,303.33,1820,139,outflow
강서구,"1153. 발산역 1번, 9번 인근 대여소",277.29,1941,284.43,1991,-50,inflow
송파구,2608. 송파구청,243.43,1704,270.86,1896,-192,inflow
양천구,792.목동트라팰리스 웨스턴에비뉴,229.57,1607,230.86,1616,-9,inflow
송파구,2622. 올림픽공원역 3번출구,223.0,1561,222.0,1554,7,outflow
양천구,"785.양천구청, 보건소 사잇길",219.71,1538,226.14,1583,-45,inflow
양천구,769.CBS방송국 앞,208.29,1458,222.57,1558,-100,inflow
광진구,3533. 건대입구역 사거리(롯데백화점),205.0,1435,221.71,1552,-117,inflow
강서구,1160. 양천향교역 7번출구앞,204.57,1432,205.29,1437,-5,inflow
강서구,1166. 강서구립등빛도서관,203.86,1427,201.14,1408,19,outflow
강서구,2733.마곡13단지 정문 앞,197.71,1384,183.29,1283,101,outflow
구로구,1911. 구로디지털단지역 앞,230.67,1384,242.83,1457,-73,inflow
강서구,1151. 마곡역1번출구,192.71,1349,198.57,1390,-41,inflow
강서구,2721.등촌1-10단지 교차로,192.0,1344,190.14,1331,13,outflow
강서구,1124. 발산역 6번 출구 뒤,223.0,1338,229.5,1377,-39,inflow
강서구,5052. 마곡역 7번출구,220.5,1323,244.67,1468,-145,inflow
강서구,2717.LG유플러스 마곡사옥,188.0,1316,209.0,1463,-147,inflow
금천구,1867.대륭포스트타워6차 앞,187.71,1314,197.86,1385,-71,inflow
마포구,5515.한강버스 망원 선착장,217.83,1307,208.67,1252,55,outflow
마포구,113. 홍대입구역 2번출구 앞,181.0,1267,224.71,1573,-306,inflow
양천구,765. 오목교역 3번출구,180.71,1265,205.71,1440,-175,inflow
성동구,508. 성수아카데미타워 앞,175.86,1231,165.86,1161,70,outflow
양천구,781.신정보도육교 아래,175.29,1227,179.14,1254,-27,inflow
강서구,3798. 그랜드아이파크아파트 앞,204.33,1226,200.0,1200,26,outflow
성동구,529. 장한평역 8번 출구 앞,203.5,1221,192.67,1156,65,outflow
구로구,3939.신도림역 3번출구,203.17,1219,231.33,1388,-169,inflow
영등포구,247. 당산역 10번출구 앞,201.33,1208,200.5,1203,5,outflow
강서구,5082. 가양역 7번출구,200.33,1202,216.5,1299,-97,inflow
영등포구,4565. 영등포 신세계백화점,199.17,1195,197.83,1187,8,outflow
송파구,2620. 송파나루역 4번 출구옆,169.71,1188,181.71,1272,-84,inflow
영등포구,5858. 영등포역5번출구,194.0,1164,224.0,1344,-180,inflow
구로구,1906. 신도림역 1번 출구 앞,191.67,1150,196.33,1178,-28,inflow
강동구,1050.  둔촌역 3번 출입구,164.0,1148,170.71,1195,-47,inflow
송파구,4870. 몽촌토성역 3번 출구,191.17,1147,193.17,1159,-12,inflow
강서구,1152. 마곡역교차로,162.43,1137,176.29,1234,-97,inflow
광진구,3534. 건대입구역 5번출구 뒤,162.43,1137,164.0,1148,-11,inflow
강동구,1009. 천호역4번출구(현대백화점),189.5,1137,191.17,1147,-10,inflow
광진구,3518. 군자역 7번출구뒤,161.86,1133,163.57,1145,-12,inflow
강서구,1190. 마곡역 교차로(2번출구),161.71,1132,169.71,1188,-56,inflow
강서구,2739.수명산파크1단지교차로,159.86,1119,159.71,1118,1,outflow
송파구,5768.방이삼거리,183.67,1102,194.5,1167,-65,inflow
강서구,2708.강서한강자이타워 앞,155.43,1088,157.71,1104,-16,inflow
영등포구,240. 문래역 4번출구 앞,180.83,1085,168.83,1013,72,outflow
양천구,4543. 오목교역 6번 출구,180.0,1080,187.33,1124,-44,inflow
관악구,2102. 봉림교 교통섬,179.83,1079,192.5,1155,-76,inflow
광진구,502. 자양(뚝섬한강공원)역 1번출구 앞,179.67,1078,211.5,1269,-191,inflow
