행정구,평균_대여,평균_반납,합계_대여,합계_반납,평균_불균형,대여소_수
강서구,66.79678756476684,66.40818652849741,360635,358489,0.04758995508556697,193
송파구,46.429041095890405,46.35913242009132,283819,283436,0.042630992710869696,219
영등포구,58.08444444444445,57.32801169590643,277555,273974,0.04259960650998945,171
양천구,59.808,60.16690909090909,184151,185264,0.06373735965175621,110
노원구,41.43268456375839,41.377986577181204,172031,171885,0.054102582891740476,149
마포구,43.287024793388426,43.65826446280992,146340,147661,0.08239086993793752,121
광진구,58.55275862068966,57.5996551724138,141762,139440,0.0484477393184617,87
강동구,41.13826446280992,41.336942148760336,138807,139467,0.045899925887413935,121
구로구,37.61017391304348,37.47191304347826,120742,120318,0.07543226783277644,115
성동구,44.23389473684211,44.59884210526316,117300,118337,0.0644294341308122,95
강남구,22.29280701754386,21.415555555555557,105868,101841,0.08024737159632504,171
종로구,35.36646464646465,33.9730303030303,97599,93801,0.07395496882680576,99
동대문구,39.22797752808989,39.956292134831465,97534,99370,0.04922073023330161,89
서초구,22.51698630136986,22.359246575342464,91071,90718,0.12460661887490286,146
중랑구,29.756770833333334,29.984062499999997,79776,80417,0.11047454307899747,96
중구,28.137391304347826,27.161521739130436,71045,68480,0.05881779966584008,92
은평구,24.894166666666667,25.256249999999998,66442,67413,0.11251049310194296,96
용산구,25.686436781609192,25.53724137931035,61088,61190,0.09299333399694384,87
성북구,26.985185185185188,26.893333333333334,60803,60687,0.08697742750734822,81
도봉구,29.503199999999996,29.348,60453,60108,0.05600763460296675,75
서대문구,24.311604938271604,23.19246913580247,54803,52296,0.06143343990205664,81
관악구,28.40376811594203,28.102753623188406,54664,54119,0.08372244769164998,69
동작구,25.810845070422534,25.78760563380282,51101,51181,0.15793841904601408,71
금천구,23.919027777777778,23.835416666666667,47971,47849,0.09591993885849567,72
강북구,22.155172413793103,21.83103448275862,35508,35075,0.07157074157262,58
