STA_LOC,RENT_NM,TOTAL_RENT_CNT,TOTAL_RTN_CNT,NET_FLOW,IMBAL_RATIO
중랑구,1477.면목삼익아파트 앞,0,1,-1,1.0
종로구,4703. 쌍용아파트2단지 정문,382,17,365,0.9147869674185464
성북구,1379.길음뉴타운푸르지오아파트 3단지,294,14,280,0.9090909090909091
중구,434. 신당 래미안 버스정류장,496,25,471,0.9040307101727447
구로구,3933. 오류동부골든아파트 후문 옆,380,20,360,0.9
강북구,1550.삼각산아이원아파트(105동 옆),74,5,69,0.8734177215189873
관악구,3310.영락고등학교,572,44,528,0.8571428571428571
성동구,3556.신금호파크자이APT앞,322,31,291,0.8243626062322946
동작구,2093.상도SH빌아파트 입구,147,18,129,0.7818181818181819
서초구,4340. 방배래미안아트힐아파트 앞,296,37,259,0.7777777777777778
